Address,Longitude,Latitude,Landlord,Neighbourhood,Apartment Building,Apartment Building Property Type,Apartment Building Property Management,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By,Rooming House,Rooming House Status
2423 Keele St,-79.4782584,43.710788,Unknown,Maple Leaf,TRUE,Privately owned,Unknown,1954,2017,12,3,2020-10-14,92,FALSE,,FALSE,,,FALSE,
6 The Donway E,-79.3405227,43.7335982,The Donway East Limited,Banbury-Don Mills,TRUE,Privately owned,Compten Management Inc,1950,2017,40,4,2020-11-14,83,TRUE,2019-02-20,FALSE,,,FALSE,
1002 Lawrence Ave E,-79.3424978,43.7379953,Bay-Gordon Financial Corp,Banbury-Don Mills,TRUE,Privately owned,Monterey Park Inc.,1954,2017,77,4,2019-11-04,81,TRUE,2017-10-27,TRUE,2018,0.37%,FALSE,
150 Graydon Hall Dr,-79.3428275,43.7656795,373041 Ont Ltd,Parkwoods-Donalda,TRUE,Privately owned,Unknown,1970,2017,298,25,2020-11-20,89,FALSE,,FALSE,,,FALSE,
25 Parkway Forest Dr,-79.34165,43.769226,Homestead Land Holdings,Henry Farm,TRUE,Privately owned,Unknown,1972,2017,300,17,2019-11-18,98,TRUE,"2019-07-26, 2019-02-19",FALSE,,,FALSE,
4875 Dundas St W,-79.527515,43.649523,Imh 4875 Dundas Ltd,Islington-City Centre West,TRUE,Privately owned,Unknown,1968,2017,56,10,2019-10-29,69,FALSE,,FALSE,,,FALSE,
49 Mabelle Ave,-79.528586,43.644977,Toronto Community Housing,Islington-City Centre West,TRUE,Toronto Community Housing,Unknown,1979,2017,128,13,2020-10-20,88,FALSE,,FALSE,,,FALSE,
307 The Kingsway,-79.522177,43.6646516,Orchard Apartments (307) Inc,Edenbridge-Humber Valley,TRUE,Privately owned,Orchard Apartments (307) Inc,1962,2017,26,3,2020-11-20,79,FALSE,,FALSE,,,FALSE,
309 The Kingsway,-79.522593,43.6648959,2074251 Ontario Inc,Edenbridge-Humber Valley,TRUE,Privately owned,Unknown,1955,2017,34,4,2020-11-10,80,TRUE,2018-12-10,FALSE,,,FALSE,
20 Anglesey Blvd,-79.5217693,43.6647896,Fine Realty Company Ltd,Edenbridge-Humber Valley,TRUE,Privately owned,Fine Realty Ltd,1953,2017,25,4,2020-12-01,78,FALSE,,FALSE,,,FALSE,
10 Trudelle St,-79.244917,43.740209,10 Trudelle Apartments Ltd,Eglinton East,TRUE,Privately owned,Gold Seal Management Inc.,1964,2017,84,6,2021-04-20,84,FALSE,,FALSE,,,FALSE,
47 Generation Blvd,-79.1667363,43.8042114,Morguard Residential Inc,Rouge,TRUE,Privately owned,Morguard Residential,1975,2017,180,3,2019-11-29,75,FALSE,,FALSE,,,FALSE,
47 Gilder Dr,-79.2553148,43.7363572,Toronto Community Housing,Eglinton East,TRUE,Toronto Community Housing,Unknown,1970,2017,66,6,2020-11-24,76,FALSE,,FALSE,,,FALSE,
34 Rosecliffe Ave,-79.444005,43.683875,Belair Investments Ltd,Oakwood Village,TRUE,Privately owned,Harvey Kalles,1945,2018,26,4,2021-04-30,67,FALSE,,FALSE,,,FALSE,
3735 Dundas St W,-79.499098,43.664948,Toronto Community Housing,Lambton Baby Point,TRUE,Toronto Community Housing,TCH,1972,2017,132,10,2019-10-31,66,FALSE,,FALSE,,,FALSE,
2283 Eglinton Ave E,-79.2723809,43.7305608,D D 2283 Eglinton Ltd,Ionview,TRUE,Privately owned,Capreit,1964,2017,101,9,2019-11-20,90,FALSE,,FALSE,,,FALSE,
120 Town Haven Pl,-79.2592762,43.7332476,Toronto Community Housing,Kennedy Park,TRUE,Toronto Community Housing,Unknown,1989,2017,150,8,2021-04-21,89,FALSE,,FALSE,,,FALSE,
1 Rosemount Dr,-79.2739393,43.7315328,Northview Apartment Reit,Ionview,TRUE,Privately owned,Northview Apartment Reit,1972,2017,110,9,2019-11-25,86,TRUE,2017-05-02,TRUE,2018,0.71%,FALSE,
1255 Birchmount Rd,-79.2840523,43.7467388,Danbar 1255 Birchmount Ltd,Dorset Park,TRUE,Privately owned,Cogir Management Corporation,1960,2017,70,6,2019-11-25,89,TRUE,"2019-02-20, 2018-08-09",FALSE,,,FALSE,
831 Kennedy Rd,-79.2687947,43.7359962,Mr-V 831 Kennedy Road Inc,Ionview,TRUE,Privately owned,D&D Management,1954,2017,50,6,2020-12-17,81,FALSE,,FALSE,,,FALSE,
2643 Keele St,-79.4800526,43.7214397,Quantum Apartments Inc,Maple Leaf,TRUE,Privately owned,Unknown,1955,2017,21,3,2021-04-23,79,FALSE,,FALSE,,,FALSE,
1605 Jane St,-79.5025585,43.7002993,Unknown,Brookhaven-Amesbury,TRUE,Privately owned,Unknown,1958,2017,28,3,2019-03-07,91,FALSE,,FALSE,,,FALSE,
20 Godstone Rd,-79.347498,43.7806415,Fieldgate Two-Twenty Apartments Limited,Don Valley Village,TRUE,Privately owned,Fieldgate Properties,1968,2017,174,15,2020-12-23,81,TRUE,2017-11-20,FALSE,,,FALSE,
8 Godstone Rd,-79.3463834,43.7801563,1403731 Ontario Limited,Don Valley Village,TRUE,Privately owned,R A B Properties Limited,1965,2017,164,16,2020-12-16,81,TRUE,2020-04-30,FALSE,,,FALSE,
688 Sheppard Ave E,-79.3793311,43.769202,Autumn Peak Developments Inc,Bayview Village,TRUE,Privately owned,Unknown,1958,2019,35,4,2020-12-09,76,FALSE,,FALSE,,,FALSE,
50 Ruddington Dr,-79.3906926,43.7904963,Unknown,Bayview Woods-Steeles,TRUE,Privately owned,Schickedanz Bros. Properties,1968,2017,189,14,2019-11-06,91,FALSE,,FALSE,,,FALSE,
1407 Royal York Rd,-79.5271282973119,43.6837886222686,Unknown,Humber Heights-Westmount,TRUE,Privately owned,H&R Property Management,1964,2017,162,13,2019-10-29,90,TRUE,,TRUE,2017,1.9%,FALSE,
530 Scarlett Rd,-79.5138,43.687319,Homesead Land Holdings Limited,Humber Heights-Westmount,TRUE,Privately owned,Unknown,1970,2017,106,12,2019-10-30,91,TRUE,2019-11-21,FALSE,,,FALSE,
1680 Ellesmere Rd,-79.2498188,43.7729122,Blue Danube Housing,Woburn,TRUE,Social housing,Aykler Management,1994,2017,145,8,2019-11-27,87,FALSE,,FALSE,,,FALSE,
115 Generation Blvd,-79.1642962,43.8036008,Morguard Residential Inc,Rouge,TRUE,Privately owned,Morguard Residential,1975,2017,12,3,2020-11-04,80,FALSE,,FALSE,,,FALSE,
1477 Birchmount Rd,-79.2882167,43.7569426,1477 Birchmount Ltd,Dorset Park,TRUE,Privately owned,Unknown,1960,2017,21,3,2021-04-28,79,FALSE,,FALSE,,,FALSE,
2 Treewood St,-79.2651571,43.7540559,Poplar Plains Investments Limited,Bendale,TRUE,Privately owned,Unknown,1956,2017,82,7,2019-11-26,92,TRUE,"2017-11-30, 2016-04-21",FALSE,,,FALSE,
1175 Ellesmere Rd,-79.2698661,43.7676476,Agnes Neudorf 2019772 Ontario,Bendale,TRUE,Privately owned,2019772 Ont. Inc,1967,2017,65,5,2019-11-25,80,TRUE,2018-09-28,FALSE,,,FALSE,
815 Midland Ave,-79.2574812,43.7341533,Fa Lyn Properties Inc,Kennedy Park,TRUE,Privately owned,Unknown,1965,2017,23,3,2020-10-28,75,FALSE,,FALSE,,,FALSE,
2416 Keele St,-79.4788508,43.7097894,Unknown,Maple Leaf,TRUE,Privately owned,Unknown,1954,,17,3,2020-10-26,68,FALSE,,FALSE,,,FALSE,
2620 Keele St,-79.4809195,43.7196165,1306923 Ontario Limited,Maple Leaf,TRUE,Privately owned,Unknown,1984,2017,11,3,2020-11-04,76,FALSE,,FALSE,,,FALSE,
20 Tinder Cres,-79.3086513,43.7269206,1606787 Ontario Limited,Victoria Village,TRUE,Privately owned,Royal Lepage Signature Realty,1960,2017,59,4,2019-11-05,83,FALSE,,FALSE,,,FALSE,
1594 Victoria Park Ave,-79.3051785,43.7295564,Centurion Property Associates Inc,Victoria Village,TRUE,Privately owned,Unknown,1956,2017,28,4,2019-02-22,89,TRUE,"2019-01-04, 2017-12-07, 2016-01-07",TRUE,2017,1.09%,FALSE,
2 Biggin Crt,-79.305477,43.729097,Centurion Property Associates Inc,Victoria Village,TRUE,Privately owned,Unknown,1955,2017,77,4,2020-11-19,92,TRUE,"2020-02-04, 2018-03-14",TRUE,2019,0.3%,FALSE,
17 Eccleston Dr,-79.316211,43.727049,Unknown,Victoria Village,TRUE,Privately owned,Royal Lepage Signature Realty,1960,2018,60,4,2019-11-05,80,FALSE,,FALSE,,,FALSE,
1704 Victoria Park Ave,-79.3075482,43.7350911,1704 Victoria Park Inc,Victoria Village,TRUE,Privately owned,Gold Seal Management Inc.,1966,2017,93,7,2019-11-05,98,TRUE,2018-03-08,FALSE,,,FALSE,
287 Markland Dr,-79.5780495,43.6275357,Blackhill Development  Ltd,Markland Wood,TRUE,Privately owned,E. Manson Investments Limited,1965,2017,118,10,2020-11-03,80,FALSE,,FALSE,,,FALSE,
339 The West Mall,-79.5639443,43.6380795,Unknown,Etobicoke West Mall,TRUE,Privately owned,Travi Inc.,1950,2017,51,5,2020-11-24,67,FALSE,,FALSE,,,FALSE,
361 The West Mall,-79.5647163,43.6408975,Unknown,Etobicoke West Mall,TRUE,Privately owned,Westmall Investments,1970,2017,141,16,2020-12-09,75,FALSE,,FALSE,,,FALSE,
110 Erskine Ave,-79.3952875,43.7122434,110 Erskine Avenue Inc,Mount Pleasant West,TRUE,Privately owned,Unknown,1972,2017,227,23,2019-10-29,95,TRUE,"2020-01-30, 2018-12-21",FALSE,,,FALSE,
1457 Kingston Rd,-79.2700451,43.6880713,1034523 Ontario Ltd,Birchcliffe-Cliffside,TRUE,Privately owned,1034523 Ontario Ltd,1940,2017,15,3,2020-11-25,69,FALSE,,FALSE,,,FALSE,
325 Bleecker St,-79.374339,43.669418,Toronto Community Housing,North St.James Town,TRUE,Toronto Community Housing,Greenwin,1969,2017,327,24,2019-12-03,49,FALSE,,FALSE,,,FALSE,
24 Leith Hill Rd,-79.3500078,43.7772296,Homestead Land Holdings,Don Valley Village,TRUE,Privately owned,Cogir Management Corporation,1966,2017,224,16,2019-11-07,93,TRUE,"2019-01-07, 2018-08-09, 2017-02-16",TRUE,"2019, 2017","5%, 0.6%",FALSE,
1275 Danforth Rd,-79.2447945,43.7396124,Trudelle Court Apartments Limited,Eglinton East,TRUE,Privately owned,M&R Property Management,1958,2017,114,7,2019-11-26,89,TRUE,"2018-05-07, 2017-01-10",FALSE,,,FALSE,
17 Brimley Rd,-79.239476,43.720387,Toronto Community Housing,Cliffcrest,TRUE,Toronto Community Housing,Unknown,1979,2017,330,11,2021-04-21,88,FALSE,,FALSE,,,FALSE,
31 Paxtonia Blvd,-79.4799859,43.7291862,Gibor Construction Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Marbrook Developments Ltd.,1964,2017,50,3,2019-11-18,75,FALSE,,FALSE,,,FALSE,
1537 Wilson Ave,-79.5070895,43.7205311,2585277 Ontario Limited,Downsview-Roding-CFB,TRUE,Privately owned,2585277 Ontario Limited,1960,2017,42,4,2019-11-18,76,FALSE,,FALSE,,,FALSE,
1515 Wilson Ave,-79.5060338,43.7208332,Wilson Kennedy Holdings Inc,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1958,2017,55,4,2019-11-18,78,TRUE,2017-12-28,FALSE,,,FALSE,
2217 Jane St,-79.5088652,43.7233602,Unknown,Downsview-Roding-CFB,TRUE,Privately owned,Vincenza Paolella,1950,2017,12,3,2019-11-06,75,FALSE,,FALSE,,,FALSE,
250 Cassandra Blvd,-79.315958,43.754637,Bayview Summit Development,Parkwoods-Donalda,TRUE,Privately owned,Unknown,1966,2017,234,4,2019-11-04,81,FALSE,,FALSE,,,FALSE,
2126 Victoria Park Ave,-79.3164039,43.7594803,1620722 Ontario Inc,Parkwoods-Donalda,TRUE,Privately owned,Unknown,1961,2018,11,3,2019-11-04,80,FALSE,,FALSE,,,FALSE,
675 Martin Grove Rd,-79.5647381,43.6811847,Hi-Lo Investments,Willowridge-Martingrove-Richview,TRUE,Privately owned,Unknown,1972,2017,126,11,2020-12-04,71,TRUE,2018-05-11,FALSE,,,FALSE,
111 Blackfriar Ave,-79.5616455,43.699279,111 Blackfriar Holdings Inc,Kingsview Village-The Westway,TRUE,Privately owned,Unknown,1968,2020,39,3,2019-10-28,69,FALSE,,FALSE,,,FALSE,
25 Bridesburg Dr,-79.5621199,43.6955614,Capreit Apartments Inc,Kingsview Village-The Westway,TRUE,Privately owned,Capreit,1965,2017,62,5,2019-10-28,92,TRUE,2018-01-10,FALSE,,,FALSE,
1 Terraview Blvd,-79.317384,43.764447,Ranee Management,Wexford/Maryvale,TRUE,Privately owned,Ranee Management,1960,2017,104,7,2019-11-25,90,TRUE,2021-03-03,FALSE,,,FALSE,
225 Markham Rd,-79.2190766,43.7461924,Capreit Apartments Inc,Scarborough Village,TRUE,Privately owned,Capreit,1969,2017,229,16,2019-11-28,89,TRUE,2019-08-19,FALSE,,,FALSE,
2854 Keele St,-79.4836764,43.7316239,Unknown,Downsview-Roding-CFB,TRUE,Privately owned,Lindawachtel,1955,2017,11,3,2020-11-10,78,FALSE,,FALSE,,,FALSE,
2251 Jane St,-79.5093328,43.7254563,Floriri Village Investments Inc,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1965,2017,11,3,2019-11-18,93,FALSE,,FALSE,,,FALSE,
28 Heathrow Dr,-79.5092759,43.725213,Floriri Village Investments Inc,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1965,2017,11,3,2019-11-05,79,FALSE,,FALSE,,,FALSE,
1254 York Mills Rd,-79.3287829,43.7611177,Donview Properties Inc,Parkwoods-Donalda,TRUE,Privately owned,Unknown,1961,2017,58,4,2021-04-19,72,FALSE,,FALSE,,,FALSE,
1574 Bathurst St,-79.4199252,43.6861525,Unknown,Humewood-Cedarvale,TRUE,Privately owned,Greenwin Corp.,1926,2017,36,4,2020-11-04,79,FALSE,,FALSE,,,FALSE,
15 Torbolton Dr,-79.5582975,43.7189194,Unknown,Rexdale-Kipling,TRUE,Privately owned,Falcosta Investments,1960,2017,19,3,2019-10-28,84,FALSE,,FALSE,,,FALSE,
2435 Kipling Ave,-79.578799,43.7388,Kipling Towers Limited,Thistletown-Beaumond Heights,TRUE,Privately owned,Unknown,1965,2018,153,13,2020-11-18,70,TRUE,"2021-03-18, 2020-02-05",FALSE,,,FALSE,
1475 Kingston Rd,-79.2693235,43.688558,1034523 Ontario Ltd,Birchcliffe-Cliffside,TRUE,Privately owned,1034523 Ontario Ltd,1940,2017,14,3,2021-04-14,75,FALSE,,FALSE,,,FALSE,
1575 Queen St E,-79.3181128,43.6658634,Unknown,Greenwood-Coxwell,TRUE,Toronto Community Housing,TCH,1969,2017,60,6,2020-11-09,72,FALSE,,FALSE,,,FALSE,
4 Forest Laneway,-79.4093704,43.7624985,Axes Investments Inc,Willowdale East,TRUE,Privately owned,Tandem Property Management Inc,1975,2017,277,29,2019-11-18,82,FALSE,,FALSE,,,FALSE,
3950 Lawrence Ave E,-79.204591,43.764928,509343 Alberta Inc,Morningside,TRUE,Privately owned,Unknown,1967,2017,164,15,2021-04-14,77,FALSE,,FALSE,,,FALSE,
4205 Lawrence Ave E,-79.1853509,43.7679951,Toronto Community Housing,West Hill,TRUE,Toronto Community Housing,Del Managment,1974,2017,345,14,2021-04-21,71,FALSE,,FALSE,,,FALSE,
4000 Lawrence Ave E,-79.2000106,43.7661142,4000-4010 Lawrence Ave Inc,West Hill,TRUE,Privately owned,Capreit,1967,2017,141,12,2019-11-28,85,FALSE,,FALSE,,,FALSE,
2994 Keele St,-79.4850158,43.7367223,2069808 Ontario Inc,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1954,,12,4,2019-12-12,70,FALSE,,FALSE,,,FALSE,
2990 Keele St,-79.4849347,43.7363842,Unknown,Downsview-Roding-CFB,TRUE,Privately owned,Devnett Company,1952,2018,11,3,2020-11-12,74,FALSE,,FALSE,,,FALSE,
2 Dorado Crt,-79.4861504,43.7384439,Standorado Inv Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1958,2019,87,4,2020-11-04,58,FALSE,,FALSE,,,FALSE,
3710 Keele St,-79.4897869,43.756543,Nhd Residential Limited,York University Heights,TRUE,Privately owned,N.h.d. Developments Limited,1972,2017,92,9,2020-10-28,68,FALSE,,FALSE,,,FALSE,
3680 Keele St,-79.4895384,43.7537599,Toronto Community Housing,York University Heights,TRUE,Toronto Community Housing,Unknown,1970,2017,238,3,2018-12-31,86,FALSE,,FALSE,,,FALSE,
3470 Keele St,-79.488804,43.752386,Acli Etobicoke Community Homes,York University Heights,TRUE,Social housing,Unknown,1994,2017,59,4,2021-04-13,65,FALSE,,FALSE,,,FALSE,
1550 Bathurst St,-79.4196091,43.6853593,Lord Seaton Investments,Humewood-Cedarvale,TRUE,Privately owned,Unknown,1940,2017,25,5,2019-11-28,67,FALSE,,FALSE,,,FALSE,
113 Vaughan Rd,-79.4210953,43.684383,11537733 Canada Inc,Humewood-Cedarvale,TRUE,Privately owned,Unknown,1947,2017,12,3,2019-12-12,72,FALSE,,FALSE,,,FALSE,
40 Raglan Ave,-79.4203923,43.6842051,Mr-V 40 Raglan Avenue Inc,Humewood-Cedarvale,TRUE,Privately owned,Hazelview Properties,1960,2017,61,7,2020-11-05,79,TRUE,2017-12-21,TRUE,2019,0.38%,FALSE,
100 Vaughan Rd,-79.4215782,43.6837986,Akelius Canada Ltd,Humewood-Cedarvale,TRUE,Privately owned,Akelius Canada Ltd,1940,2017,33,4,2019-11-27,74,TRUE,2017-11-24,TRUE,2018,0.5%,FALSE,
2548 Kipling Ave,-79.583971,43.7452746,2597775 Ontario Inc,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,Golden Equity Properties,1968,2017,153,7,2020-10-11,75,FALSE,,FALSE,,,FALSE,
40 Stevenson Rd,-79.5856639,43.7442362,40 Stevenson (Rexdale) Ltd,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,Metcap Living Management Inc,1970,2017,176,13,2020-10-26,76,TRUE,2020-09-24,FALSE,,,FALSE,
10 Humberline Dr,-79.6118048,43.7312509,Toronto Community Housing,West Humber-Clairville,TRUE,Toronto Community Housing,Unknown,1984,2017,179,13,2020-12-01,78,FALSE,,FALSE,,,FALSE,
100 Cavell Ave,-79.4969957,43.6154901,Toronto Community Housing,Mimico (includes Humber Bay Shores),TRUE,Toronto Community Housing,Unknown,1977,2017,300,7,2020-11-02,82,FALSE,,FALSE,,,FALSE,
26 Albert Ave,-79.4892715,43.6162439,Northview Apartment Reit,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Northview Apartment Reit,1950,2017,23,3,2019-10-31,71,FALSE,,FALSE,,,FALSE,
20 Chichester Pl,-79.321791,43.777322,Park Property Management Inc,L'Amoreaux,TRUE,Privately owned,Park Property Management Inc,1970,2017,189,14,2019-12-10,90,FALSE,,FALSE,,,FALSE,
2008 Pharmacy Ave,-79.319137,43.7767044,Toronto Community Housing,L'Amoreaux,TRUE,Toronto Community Housing,Del Management,1975,2017,293,13,2021-04-17,83,FALSE,,FALSE,,,FALSE,
10 Bridletowne Crcl,-79.318162,43.795557,Unknown,L'Amoreaux,TRUE,Privately owned,Park Property Management Inc,1974,2017,175,14,2019-12-10,87,FALSE,,FALSE,,,FALSE,
3735 Sheppard Ave E,-79.2962802149388,43.7814335603006,Unknown,Tam O'Shanter-Sullivan,TRUE,Privately owned,Agincourt Apartments,1968,2017,52,4,2019-11-27,83,FALSE,,FALSE,,,FALSE,
2250 Kennedy Rd,-79.2884508,43.7822395,848508 Ontario Inc,Tam O'Shanter-Sullivan,TRUE,Privately owned,Cando Apartments Ltd.,1960,2017,136,18,2019-11-27,92,TRUE,2020-03-04,FALSE,,,FALSE,
10 Carabob Crt,-79.297589,43.783186,Park Property Management Inc,Tam O'Shanter-Sullivan,TRUE,Privately owned,Park Property Management Inc,1974,2017,196,15,2019-11-27,87,FALSE,,FALSE,,,FALSE,
391 Sentinel Rd,-79.4991386,43.7602844,Unknown,York University Heights,TRUE,Privately owned,Rona Property Management,1966,2017,44,4,2020-10-21,75,FALSE,,FALSE,,,FALSE,
345 Sentinel Rd,-79.4982686,43.7574163,Pac Mar Holdings Ltd,York University Heights,TRUE,Privately owned,Pacmar Holdings Ltd,1970,2017,79,10,2019-11-19,72,FALSE,,FALSE,,,FALSE,
20 Broadoaks Dr,-79.4909184,43.7577133,Unknown,York University Heights,TRUE,Privately owned,N.h.d. Developments Limited,1969,2017,177,9,2020-11-03,62,FALSE,,FALSE,,,FALSE,
2700 Bathurst St,-79.4281962,43.7090577,Sharon Court Holdings Ltd,Englemount-Lawrence,TRUE,Privately owned,Unknown,1961,2017,149,10,2020-11-04,90,TRUE,"2021-02-25, 2016-02-17",TRUE,2017,1.03%,FALSE,
1049 Lawrence Ave W,-79.460469,43.7126172,3-Way Investments Ltd,Yorkdale-Glen Park,TRUE,Privately owned,3 Way Investments Ltd.,1967,2017,20,3,2020-12-07,84,FALSE,,FALSE,,,FALSE,
3050 Dufferin St,-79.4551619,43.7131591,Unknown,Yorkdale-Glen Park,TRUE,Social housing,Villa Charities Inc,1983,2018,258,14,2021-04-19,75,FALSE,,FALSE,,,FALSE,
227 Vaughan Rd,-79.4233044,43.6877874,Akelius Canada Ltd,Humewood-Cedarvale,TRUE,Privately owned,Akelius Canada Ltd,1927,2017,24,4,2021-04-20,70,FALSE,,FALSE,,,FALSE,
229 Vaughan Rd,-79.423638,43.687907,2173897 Ontario Inc,Humewood-Cedarvale,TRUE,Privately owned,Royallepage,1938,2017,24,4,2020-11-06,80,FALSE,,FALSE,,,FALSE,
1602 Bathurst St,-79.4209414,43.6886137,313 Property Holdings Inc,Humewood-Cedarvale,TRUE,Privately owned,Unknown,1923,2017,32,4,2021-04-12,71,FALSE,,FALSE,,,FALSE,
1592 Bathurst St,-79.4205559,43.6876487,1592 Bathurst Street Inc,Humewood-Cedarvale,TRUE,Privately owned,Unknown,1955,2017,35,4,2020-11-10,68,TRUE,2017-11-09,FALSE,,,FALSE,
2531 Lake Shore Blvd W,-79.4872978,43.6100743,Capreit Limited Partnership,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Capreit Limited Partnership,1952,2017,110,6,2020-11-12,84,TRUE,2016-11-30,TRUE,2019,2.55%,FALSE,
2660 Lake Shore Blvd W,-79.4939393,43.6035721,2660 Lakeshore Inc,Mimico (includes Humber Bay Shores),TRUE,Privately owned,2660 Lakeshore Inc.,1960,2017,15,4,2021-05-04,70,FALSE,,FALSE,,,FALSE,
2696 Lake Shore Blvd W,-79.4961218,43.6030067,Unknown,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Unknown,1955,2017,27,4,2019-10-31,71,FALSE,,FALSE,,,FALSE,
225 Cosburn Ave,-79.3433168,43.6902901,225-227 Cosburn Properties Inc,Danforth East York,TRUE,Privately owned,Ranee Management,1965,2017,95,8,2019-12-04,93,TRUE,2017-12-12,FALSE,,,FALSE,
2739 Victoria Park Ave,-79.3241234,43.7782896,Toronto Community Housing,L'Amoreaux,TRUE,Toronto Community Housing,TCH,1971,2017,203,15,2020-11-26,79,FALSE,,FALSE,,,FALSE,
43 Generation Blvd,-79.1674,43.8043124,Morguard Residential Inc,Rouge,TRUE,Privately owned,Morguard Residential,1975,2017,12,3,2019-11-29,75,FALSE,,FALSE,,,FALSE,
5600 Sheppard Ave E,-79.236359,43.794996,Amstar 5600 Sheppard Ltd,Malvern,TRUE,Privately owned,Cogirmanagementcorporation,1970,2018,120,10,2019-11-27,92,TRUE,2017-09-29,TRUE,2018,0.53%,FALSE,
93 Coe Hill Dr,-79.4724448,43.6414446,High Park Diplomat Inc,High Park-Swansea,TRUE,Privately owned,Unknown,1958,2020,33,4,2020-11-03,78,FALSE,,FALSE,,,FALSE,
2407 Bloor St W,-79.4831941,43.6493352,Campbell Drummond & Company Inc,High Park-Swansea,TRUE,Privately owned,Unknown,1920,2017,12,3,2019-10-30,84,TRUE,2020-05-15,FALSE,,,FALSE,
111 Runnymede Rd,-79.4757418,43.6505742,Unknown,High Park-Swansea,TRUE,Privately owned,Unknown,1960,2017,16,4,2020-12-11,75,FALSE,,FALSE,,,FALSE,
10 Wasdale Cres,-79.435327,43.7311971,D Kadoch Investments Inc,Englemount-Lawrence,TRUE,Privately owned,D. Kadoch Investments Inc,1956,2017,10,3,2020-11-19,80,FALSE,,FALSE,,,FALSE,
28 Wasdale Cres,-79.4365846,43.7309322,2533968 Ontario Inc,Englemount-Lawrence,TRUE,Privately owned,Unknown,1975,2017,11,3,2019-11-20,86,TRUE,2019-07-17,FALSE,,,FALSE,
1998 Bathurst St,-79.42517,43.699458,Eldebron Holdings Inc,Humewood-Cedarvale,TRUE,Privately owned,Eldebron Holdings Limited,1954,2017,19,3,2020-11-10,64,FALSE,,FALSE,,,FALSE,
1996 Bathurst St,-79.4252,43.6991312,Mar-Kal Property Management,Humewood-Cedarvale,TRUE,Privately owned,Markal Property Management,1949,2017,39,4,2020-11-10,79,FALSE,,FALSE,,,FALSE,
330 Winnett Ave,-79.4350589,43.6922778,462231 Ontario Ltd,Oakwood Village,TRUE,Privately owned,Greenwin Corp.,1971,2017,39,4,2020-11-13,86,FALSE,,FALSE,,,FALSE,
1 A Bansley Ave,-79.4421096,43.6926487,Unknown,Oakwood Village,TRUE,Privately owned,Unknown,1954,2017,19,4,2019-02-19,75,FALSE,,FALSE,,,FALSE,
2353 Dufferin St,-79.449594,43.695207,St Hildas Towers Lewis Garnsworthy Residence,Oakwood Village,TRUE,Social housing,St Hildas Towers Inc.,1997,2017,144,16,2019-11-25,73,FALSE,,FALSE,,,FALSE,
1801 Eglinton Ave W,-79.44897,43.695525,Ks 1801-1807 Eglinton Avenue West Inc,Oakwood Village,TRUE,Privately owned,Triovest Realty Advisors Inc,1960,2021,41,3,2020-11-18,71,FALSE,,FALSE,,,FALSE,
250 Twelfth St,-79.5115219,43.6006715,Toronto Community Housing,New Toronto,TRUE,Toronto Community Housing,Unknown,1993,2017,178,14,2020-11-02,80,FALSE,,FALSE,,,FALSE,
80 Twenty Fifth St,-79.523423,43.595535,Venier Properties Inc,Long Branch,TRUE,Privately owned,Unknown,1970,2017,18,3,2019-10-30,83,FALSE,,FALSE,,,FALSE,
220 Lake Promenade,-79.5297266,43.5897491,Lake Promenade Apartments Limited,Long Branch,TRUE,Privately owned,Compten Management Inc.,1963,2017,118,7,2019-02-01,63,FALSE,,FALSE,,,FALSE,
310 The Kingsway,-79.5233376,43.6645105,1179127 Ontario Limited,Edenbridge-Humber Valley,TRUE,Privately owned,Law Property Management,1954,2017,22,3,2020-12-15,88,FALSE,,FALSE,,,FALSE,
20 Eppleworth Rd,-79.2640547,43.7269593,Unknown,Kennedy Park,TRUE,Toronto Community Housing,Del Managment,1969,2017,36,3,2019-11-20,74,FALSE,,FALSE,,,FALSE,
90 Parma Crt,-79.3010013,43.7172072,Toronto Community Housing,Victoria Village,TRUE,Toronto Community Housing,TCH,1966,2017,92,7,2021-04-22,73,FALSE,,FALSE,,,FALSE,
107 Redpath Ave,-79.3921604,43.7072734,Robinwood Management,Mount Pleasant West,TRUE,Privately owned,Unknown,1955,2017,31,4,2020-12-01,87,FALSE,,FALSE,,,FALSE,
112 Rajah St,-79.4389265,43.7315149,Falconwin Holdings Ltd,Englemount-Lawrence,TRUE,Privately owned,Falconwin Property Mng,1957,2017,12,3,2020-12-02,75,FALSE,,FALSE,,,FALSE,
