Address,Longitude,Latitude,Landlord,Neighbourhood,Apartment Building,Apartment Building Property Type,Apartment Building Property Management,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By,Rooming House,Rooming House Status
85 Clearview Hts,-79.4830945,43.6927832,Sabjoy Inc,Beechborough-Greenbrook,TRUE,Privately owned,Kpm,1958,2017,35,3,2019-01-16,87,FALSE,,FALSE,,,FALSE,
30 Denarda St,-79.492504,43.6892512,Toronto Community Housing,Mount Dennis,TRUE,Toronto Community Housing,Del Management,1983,2017,255,15,2020-12-21,74,FALSE,,FALSE,,,FALSE,
3 Old Meadow Lane,-79.4441497,43.7180424,Toronto Community Housing,Englemount-Lawrence,TRUE,Toronto Community Housing,TCH,1957,2017,30,4,2019-11-20,58,FALSE,,FALSE,,,FALSE,
855 Roselawn Ave,-79.4414798,43.7018903,Toronto Community Housing,Briar Hill-Belgravia,TRUE,Toronto Community Housing,TCH,1974,2017,253,17,2021-04-27,64,FALSE,,FALSE,,,FALSE,
875 Kennedy Rd,-79.2701802,43.7391006,Golden Plaza Limited,Ionview,TRUE,Privately owned,Golden Plaza Ltd.,1961,2017,82,6,2019-11-25,80,TRUE,2019-01-04,FALSE,,,FALSE,
2641 Keele St,-79.4801096,43.7212509,526056 Ontario Limited,Maple Leaf,TRUE,Privately owned,Unknown,1955,2017,21,3,2021-04-23,76,FALSE,,FALSE,,,FALSE,
2645 Keele St,-79.4801052,43.7216097,Franceschi Family Holdings Inc,Maple Leaf,TRUE,Privately owned,Franceschi Family Holdings Inc,1953,2018,21,3,2021-04-23,76,FALSE,,FALSE,,,FALSE,
1795 Jane St,-79.503906,43.706704,1411080 Ontario Limited,Rustic,TRUE,Privately owned,1411080 Ontario Limited,1960,2017,105,10,2019-11-06,79,TRUE,2017-06-30,FALSE,,,FALSE,
175 Shaughnessy Blvd,-79.355427,43.781314,Homestead Land Holding Ltd,Don Valley Village,TRUE,Privately owned,Unknown,1968,2017,139,18,2019-11-07,94,FALSE,,FALSE,,,FALSE,
505 Cummer Ave,-79.391587,43.791996,Schickedanz Brothers Limited,Bayview Woods-Steeles,TRUE,Privately owned,Schickedanz Bros. Properties,1967,2017,175,13,2019-11-06,94,FALSE,,FALSE,,,FALSE,
3 Anglesey Blvd,-79.5202447,43.6652609,1179127 Ontario Limited,Edenbridge-Humber Valley,TRUE,Privately owned,Law Property Management,1954,2017,22,4,2020-12-15,86,FALSE,,FALSE,,,FALSE,
1137 Royal York Rd,-79.5151476,43.661236,Samper Developments Limited,Edenbridge-Humber Valley,TRUE,Privately owned,Princess Management,1963,2017,122,10,2020-10-28,84,FALSE,,FALSE,,,FALSE,
24 Dixington Cres,-79.5429337,43.6964523,Sluban Holdings Ltd,Kingsview Village-The Westway,TRUE,Privately owned,Unknown,1962,2017,63,6,2019-10-28,87,FALSE,,FALSE,,,FALSE,
236 Dixon Rd,-79.546292,43.698272,3414493 Canada Inc,Kingsview Village-The Westway,TRUE,Privately owned,Capreit,1963,2017,123,13,2019-10-28,93,TRUE,2020-11-12,FALSE,,,FALSE,
