Address,Longitude,Latitude,Neighbourhood,Apartment Building,Apartment Building Property Type,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,Property Management Or Landlord,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By
2278 Weston Rd,-79.5292542,43.7047144,Weston,TRUE,PRIVATE,1961,2018,33,4,Cogir Management Corporation,2019-11-04,72,TRUE,"2021-01-07, 2019-11-27",FALSE,,
2202 Weston Rd,-79.5269695,43.7032611,Weston,TRUE,PRIVATE,1959,2017,97,6,,2021-04-14,78,FALSE,,FALSE,,
210 Woolner Ave,-79.4924154,43.6724894,Rockcliffe-Smythe,TRUE,PRIVATE,1968,2017,188,9,Woolner Holdings Inc,2020-11-10,67,FALSE,,FALSE,,
220 Woolner Ave,-79.4929486,43.6723802,Rockcliffe-Smythe,TRUE,PRIVATE,1960,2017,130,9,Tivoli Towers,2019-11-18,75,FALSE,,FALSE,,
6020 Bathurst St,-79.4473735,43.7870899,Westminster-Branson,TRUE,PRIVATE,1967,2017,149,11,Timbercreek/Hazelview,2020-11-02,81,TRUE,2017-08-08,TRUE,2018,0.53%
30 Springhurst Ave,-79.428844,43.634519,South Parkdale,TRUE,PRIVATE,1965,2017,122,12,,2020-11-04,66,FALSE,,FALSE,,
4222 Bathurst St,-79.437651,43.749542,Clanton Park,TRUE,PRIVATE,1967,2017,77,8,Starlight Investments,2020-12-03,84,TRUE,"2019-04-26, 2017-04-04",FALSE,,
333 Sidney Belsey Crescent,-79.5085906,43.6913369,Mount Dennis,TRUE,SOCIAL HOUSING,2008,2017,264,12,,2019-11-06,77,FALSE,,FALSE,,
781 The Queensway,-79.505712,43.625254,Stonegate-Queensway,TRUE,SOCIAL HOUSING,1993,2017,66,3,Greenwin Inc.,2019-10-29,86,FALSE,,FALSE,,
1004 O'Connor Dr,-79.310326,43.709395,O'Connor-Parkview,TRUE,PRIVATE,1958,2021,12,3,,2021-04-27,54,FALSE,,FALSE,,
111 Cosburn Ave,-79.348129,43.6892567,Danforth East York,TRUE,PRIVATE,,,23,3,,2021-04-23,69,FALSE,,FALSE,,
3330 Danforth Ave,-79.2786108,43.6937324,Oakridge,TRUE,TCHC,1978,2017,194,10,,2021-04-13,94,FALSE,,FALSE,,
30 Burn Hill Rd,-79.277834,43.6992243,Oakridge,TRUE,PRIVATE,1982,2017,238,22,Hillburn Apartments,2020-11-20,81,FALSE,,FALSE,,
682 Warden Ave,-79.2790471,43.7059641,Oakridge,TRUE,TCHC,1964,2017,223,15,TCH,2020-12-16,81,FALSE,,FALSE,,
20 Teesdale Pl,-79.2874829,43.6959747,Oakridge,TRUE,PRIVATE,1970,2017,284,24,Princess Management,2020-11-19,82,TRUE,2017-07-07,FALSE,,
1055 Victoria Park Ave,-79.2944466,43.7067321,Clairlea-Birchmount,TRUE,PRIVATE,1962,2017,52,6,,2019-12-04,86,FALSE,,FALSE,,
